Date; Bitcoin Price ;Nvidia Price;Gold Price
04/01/2024; 65,963.3 ;895;2,317.55
03/01/2024; 71,332.0 ;904;2,238.40
02/01/2024; 61,169.3 ;791;2,064.40
01/01/2024; 42,580.5 ;615;2,067.40
12/01/2023; 42,272.5 ;495;2,071.80
11/01/2023; 37,712.9 ;468;2,038.10
10/01/2023; 34,650.6 ;408;1,994.30
09/01/2023; 26,962.7 ;435;1,885.40
08/01/2023; 25,937.3 ;494;1,965.90
07/01/2023; 29,232.4 ;467;2,009.20
06/01/2023; 30,472.9 ;423;1,929.40
05/01/2023; 27,216.1 ;378;1,982.10
04/01/2023; 29,252.1 ;277;2,018.30
03/01/2023; 28,473.7 ;278;2,004.10
02/01/2023; 23,130.5 ;232;1,853.20
01/01/2023; 23,125.1 ;195;1,962.20
12/01/2022; 16,537.4 ;146;1,842.20
11/01/2022; 17,163.9 ;169;1,775.10
10/01/2022; 20,496.3 ;135;1,654.90
09/01/2022; 19,423.0 ;121;1,684.90
08/01/2022; 20,043.9 ;151;1,726.20
07/01/2022; 23,303.4 ;182;1,781.80
06/01/2022; 19,926.6 ;152;1,816.30
05/01/2022; 31,793.4 ;187;1,856.30
04/01/2022; 37,650.0 ;185;1,918.60
03/01/2022; 45,525.0 ;273;1,959.50
02/01/2022; 43,188.2 ;244;1,904.00
01/01/2022; 38,498.6 ;245;1,799.20
12/01/2021; 46,219.5 ;294;1,831.00
11/01/2021; 56,882.9 ;327;1,778.30
10/01/2021; 61,309.6 ;256;1,785.90
09/01/2021; 43,823.3 ;207;1,758.50
08/01/2021; 47,130.4 ;224;1,818.10
07/01/2021; 41,553.7 ;195;1,817.20
06/01/2021; 35,026.9 ;200;1,773.50
05/01/2021; 37,298.6 ;162;1,906.90
04/01/2021; 57,720.3 ;150;1,769.80
03/01/2021; 58,763.7 ;133;1,717.50
02/01/2021; 45,164.0 ;137;1,731.60
01/01/2021; 33,108.1 ;130;1,852.70
12/01/2020; 28,949.4 ;131;1,899.60
11/01/2020; 19,698.1 ;134;1,784.80
10/01/2020; 13,797.3 ;125;1,887.20
09/01/2020; 10,776.1 ;135;1,902.60
08/01/2020; 11,644.2 ;134;1,978.60
07/01/2020; 11,333.4 ;106;1,985.90
06/01/2020; 9,135.4 ;95;1,810.00
05/01/2020; 9,454.8 ;89;1,760.70
04/01/2020; 8,629.0 ;73;1,701.00
03/01/2020; 6,412.5 ;66;1,596.60
02/01/2020; 8,543.7 ;68;1,571.80
01/01/2020; 9,349.1 ;59;1,593.80
12/01/2019; 7,196.4 ;59;1,529.30
11/01/2019; 7,546.6 ;54;1,478.10
10/01/2019; 9,152.6 ;50;1,521.80
09/01/2019; 8,284.3 ;44;1,479.60
08/01/2019; 9,594.4 ;42;1,529.40
07/01/2019; 10,082.0 ;42;1,437.80
06/01/2019; 10,818.6 ;41;1,419.60
05/01/2019; 8,558.3 ;34;1,316.90
04/01/2019; 5,320.8 ;45;1,291.70
03/01/2019; 4,102.3 ;45;1,304.50
02/01/2019; 3,816.6 ;39;1,322.70
01/01/2019; 3,437.2 ;36;1,331.60
12/01/2018; 3,709.4 ;33;1,287.70
11/01/2018; 4,039.7 ;41;1,231.80
10/01/2018; 6,365.9 ;53;1,220.80
09/01/2018; 6,635.2 ;70;1,201.90
08/01/2018; 7,033.8 ;70;1,206.70
07/01/2018; 7,729.4 ;61;1,233.60
06/01/2018; 6,398.9 ;59;1,260.20
05/01/2018; 7,502.6 ;63;1,310.80
04/01/2018; 9,245.1 ;56;1,325.30
03/01/2018; 6,938.2 ;58;1,333.30
02/01/2018; 10,333.9 ;61;1,323.70
01/01/2018; 10,265.4 ;61;1,348.40
12/01/2017; 13,850.4 ;48;1,314.00
11/01/2017; 9,946.8 ;50;1,281.10
10/01/2017; 6,451.2 ;52;1,274.70
09/01/2017; 4,360.6 ;45;1,288.90
08/01/2017; 4,735.1 ;42;1,322.20
07/01/2017; 2,883.3 ;41;1,273.40
06/01/2017; 2,480.6 ;36;1,246.00
05/01/2017; 2,303.3 ;36;1,279.00
04/01/2017; 1,351.9 ;26;1,271.70
03/01/2017; 1,079.1 ;27;1,254.50
02/01/2017; 1,189.3 ;25;1,257.20
01/01/2017; $965,5 ;27;1,214.50
12/01/2016; $963,4 ;27;1,154.30
11/01/2016; $742,5 ;23;1,177.00
10/01/2016; $698,7 ;18;1,276.90
09/01/2016; $608,1 ;17;1,320.90
08/01/2016; $573,9 ;15;1,311.40
07/01/2016; $621,9 ;14;1,357.50
06/01/2016; $670,0 ;12;1,324.00
05/01/2016; $528,9 ;12;1,220.30
04/01/2016; $448,5 ;9;1,292.60
03/01/2016; $415,7 ;9;1,237.00
02/01/2016; $436,2 ;8;1,235.10
01/01/2016; $369,8 ;7;1,116.80
12/01/2015; $430,0 ;8;1,060.80
11/01/2015; $378,0 ;8;1,066.00
10/01/2015; $311,2 ;7;1,142.30
09/01/2015; $235,9 ;6;1,116.00
08/01/2015; $229,5 ;6;1,132.50
07/01/2015; $283,7 ;5;1,095.10
06/01/2015; $264,1 ;5;1,172.80
05/01/2015; $229,8 ;6;1,190.70
04/01/2015; $235,8 ;6;1,183.40
03/01/2015; $244,1 ;5;1,184.10
02/01/2015; $254,1 ;6;1,214.00
01/01/2015; $218,5 ;5;1,280.00
12/01/2014; $318,2 ;5;1,184.90
11/01/2014; $374,9 ;5;1,176.00
10/01/2014; $337,9 ;5;1,172.40
09/01/2014; $388,2 ;5;1,212.30
08/01/2014; $481,8 ;5;1,287.40
07/01/2014; $589,5 ;4;1,282.80
06/01/2014; $635,1 ;5;1,322.40
05/01/2014; $627,9 ;5;1,246.30
04/01/2014; $445,6 ;5;1,296.00
03/01/2014; $444,7 ;4;1,284.10
02/01/2014; $573,9 ;5;1,321.90
01/01/2014; $938,8 ;4;1,240.30
12/01/2013; $805,9 ;4;1,203.00
11/01/2013; 1,205.7 ;4;1,251.30
10/01/2013; $211,2 ;4;1,324.50
09/01/2013; $141,9 ;4;1,327.70
08/01/2013; $141,0 ;4;1,396.10
07/01/2013; $106,2 ;4;1,313.00
06/01/2013; $97,5 ;4;1,224.80
05/01/2013; $128,8 ;4;1,394.20
04/01/2013; $139,2 ;3;1,473.50
03/01/2013; $93,0 ;3;1,597.40
02/01/2013; $33,4 ;3;1,579.80
01/01/2013; $20,4 ;3;1,662.00
